"s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20"
0.000583627429191772,0.0574823562360317,0.0320822531862629,1.54373557247337e-08,0.00309327925860816,0.0540497726687703,0.00894444951042778,0.0113713162391493,0.00315788213202866,0.000582807378554156,4.35328354051753e-07,0.0237143157025269,0.0346681659514586,0.0278441843876625,5.52064945863687e-06,0.00333476654528585,0.0471096575716529,0.150069225563131,0.534656146498629,0.00724982232545951
0.0135355663204549,0.0619169415832779,0.186795238450822,0.00145775288529153,0.252487031773126,0.116363782850076,0.00819647739228808,0.130281336724146,0.0740527047884103,0.000252776231702572,0.0157841560277396,0.000881328602844966,0.00321469636917753,0.0145820360554053,0.000758647538333095,0.0400887328173633,0.000626336603698973,0.0192158745461581,0.0433571321907557,0.0161514502489287
0.0139844665406908,0.0620956347413922,9.91089727738991e-05,0.00719179923202757,0.0606461727703378,1.8283300866552e-05,1.13063370009259e-05,0.00949294345472681,0.1205589978949,0.27095066640358,2.26525278259208e-05,0.0261516444492042,0.00184055410150806,1.25463258584722e-06,0.257883140652669,0.00592454655898776,0.149894233972611,3.47399670715809e-06,0.0125071172594946,0.000722002200109849
0.000792680452092023,0.126343492619979,0.0111232139481019,0.000659879968644419,0.000928747380610528,0.0772152334584825,7.93706143681142e-05,0.000420982590721186,0.0188410139850833,0.00460919597518109,0.0306520870246418,0.0235689913237895,8.39419194289477e-05,0.276993369075025,1.3049382438297e-05,0.151690194863358,0.00916469807150866,0.0339664031243474,0.0479321100337439,0.184921344188455
0.0184488494589388,0.0879010428370293,0.0250343495735877,0.078841492343193,0.0489143706652714,0.000152912912050509,0.00113036315925393,2.7224737265131e-05,0.0717798527828143,0.185323927649831,0.110374841910441,0.00284672952838298,0.00413806445949704,0.0323138292490678,0.286050552826499,0.00133796459873952,0.00948761045347936,0.0177292598127099,0.0026444453464581,0.0155223156954893
0.00526109443100208,0.00166646807000742,0.0881392056285599,0.00300801380232515,0.389517470595777,6.55955420653503e-06,0.0677624758617655,0.000425292730997065,0.0011913926472542,0.139300358467182,0.0244422858452783,0.000208206050118709,4.59556057604662e-05,0.0390706884983527,0.211236898710847,0.00411275738000997,1.22085256342966e-05,0.000306003250224007,0.0197288041094885,0.0045578602352087
0.111704536864662,0.0208995655996057,4.12062791157567e-06,0.563485897690355,0.00261379473295902,0.0179072507800632,2.25107092704057e-05,0.0238903883975202,0.0068984565855502,0.0139783455370544,0.0130300437683816,0.00980720634634704,0.0176594317098238,1.2946121409827e-08,0.00694778899524248,0.00259482553011431,0.0168418318632504,0.00623323035908368,0.00226637504760278,0.163214385909081
0.140036850560422,0.0072462527146399,0.201056899326544,1.72516947563631e-07,0.0631339970761282,0.0471027854588162,0.0450354209707028,0.0675378735575603,0.000722532670971117,0.0196950049801926,0.187756855402096,0.0138312738992122,0.0357885530064826,0.00558854733630929,0.0246562748189801,0.0168516213323095,0.00774654383332499,0.0323293553014917,0.0337533305922719,0.0501298546445968
0.348034422405025,0.138163559440267,0.00214312635513692,0.0616562265304516,0.0132908106999835,0.0172454973895662,9.89564171037078e-06,0.000173623402378463,4.72478479556933e-06,0.00962051228237071,0.205802696907674,0.0117072769771273,0.0497214701007986,3.75376661674966e-06,0.0990885364748778,2.32242093532126e-05,8.44778483955729e-05,0.000674520705499512,0.0304423386402618,0.0121093054377097
2.02061122012632e-05,0.0355017447857934,0.000520530628968478,0.0367340960911958,0.108579523179636,0.0407768270481218,0.0323728494615047,2.86628082357634e-08,0.018952670171177,0.124004330410908,0.221687221383877,0.012961117284506,0.115548974524296,0.0393952460125877,0.0219603770010495,0.0180829691648622,0.167140271301527,0.005184109622684,2.31302415347074e-06,0.000574594128141835
